cycle: 78; nbPreys: 27; minEnergyPreys: 0.3500000000000001; maxSizePreys: 1.0; nbPredators: 28; minEnergyPredators: 0.03999999999999938; maxSizePredators: 1.0
cycle: 79; nbPreys: 25; minEnergyPreys: 0.40000000000000013; maxSizePreys: 1.0; nbPredators: 28; minEnergyPredators: 0.019999999999999383; maxSizePredators: 1.0
cycle: 80; nbPreys: 24; minEnergyPreys: 0.4500000000000002; maxSizePreys: 1.0; nbPredators: 27; minEnergyPredators: 0.03999999999999938; maxSizePredators: 0.98
cycle: 81; nbPreys: 22; minEnergyPreys: 0.5000000000000002; maxSizePreys: 1.0; nbPredators: 27; minEnergyPredators: 0.019999999999999383; maxSizePredators: 1.0
cycle: 82; nbPreys: 22; minEnergyPreys: 0.5500000000000003; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.02999999999999985; maxSizePredators: 0.98
cycle: 83; nbPreys: 21; minEnergyPreys: 0.6000000000000002; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.00999999999999985; maxSizePredators: 1.0
cycle: 84; nbPreys: 20; minEnergyPreys: 0.6500000000000001; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.019999999999999383; maxSizePredators: 1.0
cycle: 85; nbPreys: 19; minEnergyPreys: 0.7000000000000001; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.019999999999999827; maxSizePredators: 1.0
cycle: 86; nbPreys: 18; minEnergyPreys: 0.75; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.03999999999999938; maxSizePredators: 1.0
cycle: 87; nbPreys: 18; minEnergyPreys: 0.7999999999999999; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.98
cycle: 88; nbPreys: 18; minEnergyPreys: 0.8499999999999999; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.07999999999999939; maxSizePredators: 0.96
cycle: 89; nbPreys: 18; minEnergyPreys: 0.8999999999999998; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.05999999999999939; maxSizePredators: 0.94
cycle: 90; nbPreys: 20; minEnergyPreys: 0.3333333333333333; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.03999999999999938; maxSizePredators: 1.0
cycle: 91; nbPreys: 19; minEnergyPreys: 0.3833333333333333; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.8599999999999999
cycle: 92; nbPreys: 18; minEnergyPreys: 0.43333333333333335; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.03999999999999894; maxSizePredators: 0.98
cycle: 93; nbPreys: 17; minEnergyPreys: 0.4833333333333334; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.01999999999999894; maxSizePredators: 1.0
cycle: 94; nbPreys: 16; minEnergyPreys: 0.5333333333333334; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.1199999999999994; maxSizePredators: 0.98
cycle: 95; nbPreys: 13; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.0999999999999994; maxSizePredators: 1.0
cycle: 96; nbPreys: 12; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.07999999999999939; maxSizePredators: 1.0
cycle: 97; nbPreys: 14; minEnergyPreys: 0.3333333333333333; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.05999999999999939; maxSizePredators: 0.98
cycle: 98; nbPreys: 13; minEnergyPreys: 0.3833333333333333; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.03999999999999938; maxSizePredators: 1.0
cycle: 99; nbPreys: 13; minEnergyPreys: 0.43333333333333335; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.98
cycle: 100; nbPreys: 12; minEnergyPreys: 0.4833333333333334; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.2599999999999989; maxSizePredators: 1.0
cycle: 101; nbPreys: 12; minEnergyPreys: 0.5333333333333334; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.2399999999999989; maxSizePredators: 0.98
cycle: 102; nbPreys: 12; minEnergyPreys: 0.5833333333333335; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.21999999999999892; maxSizePredators: 0.96
cycle: 103; nbPreys: 12; minEnergyPreys: 0.6333333333333334; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.19999999999999893; maxSizePredators: 0.94
cycle: 104; nbPreys: 10; minEnergyPreys: 0.6833333333333333; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.17999999999999894; maxSizePredators: 1.0
cycle: 105; nbPreys: 10; minEnergyPreys: 0.7333333333333333; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.15999999999999895; maxSizePredators: 0.98
cycle: 106; nbPreys: 10; minEnergyPreys: 0.7833333333333332; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.13999999999999896; maxSizePredators: 0.96
cycle: 107; nbPreys: 9; minEnergyPreys: 0.8333333333333331; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.11999999999999895; maxSizePredators: 1.0
cycle: 108; nbPreys: 9; minEnergyPreys: 0.8833333333333331; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.09999999999999895; maxSizePredators: 0.98
cycle: 109; nbPreys: 8; minEnergyPreys: 0.9227450980392153; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.07999999999999895; maxSizePredators: 1.0
cycle: 110; nbPreys: 8; minEnergyPreys: 0.9727450980392153; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.05999999999999894; maxSizePredators: 0.98
cycle: 111; nbPreys: 7; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.03999999999999894; maxSizePredators: 1.0
cycle: 112; nbPreys: 7; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.01999999999999894; maxSizePredators: 0.98
cycle: 113; nbPreys: 7; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.05999999999999939; maxSizePredators: 0.96
cycle: 114; nbPreys: 7; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.03999999999999938; maxSizePredators: 0.94
cycle: 115; nbPreys: 7; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.9199999999999999
cycle: 116; nbPreys: 7; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.06999999999999985; maxSizePredators: 0.8999999999999999
cycle: 117; nbPreys: 7; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.04999999999999985; maxSizePredators: 0.8799999999999999
cycle: 118; nbPreys: 7; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.02999999999999985; maxSizePredators: 0.8599999999999999
cycle: 119; nbPreys: 7; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.00999999999999985; maxSizePredators: 0.8399999999999999
cycle: 120; nbPreys: 7; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 13; minEnergyPredators: 0.049999999999999406; maxSizePredators: 0.8199999999999998
cycle: 121; nbPreys: 7; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 13; minEnergyPredators: 0.029999999999999406; maxSizePredators: 0.7999999999999998
cycle: 122; nbPreys: 7; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 13; minEnergyPredators: 0.009999999999999405; maxSizePredators: 0.7799999999999998
cycle: 123; nbPreys: 7; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 12; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.7599999999999998
cycle: 124; nbPreys: 7; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 11; minEnergyPredators: 0.06999999999999985; maxSizePredators: 0.7399999999999998
cycle: 125; nbPreys: 7; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 11; minEnergyPredators: 0.04999999999999985; maxSizePredators: 0.7199999999999998
cycle: 126; nbPreys: 7; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 11; minEnergyPredators: 0.02999999999999985; maxSizePredators: 0.6999999999999997
cycle: 127; nbPreys: 7; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 11; minEnergyPredators: 0.00999999999999985; maxSizePredators: 0.6799999999999997
cycle: 128; nbPreys: 7; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 8; minEnergyPredators: 0.05999999999999939; maxSizePredators: 0.6599999999999997
cycle: 129; nbPreys: 7; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 8; minEnergyPredators: 0.03999999999999938; maxSizePredators: 0.6399999999999997
cycle: 130; nbPreys: 7; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 8; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.6199999999999997
cycle: 131; nbPreys: 7; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 6; minEnergyPredators: 0.05999999999999939; maxSizePredators: 0.5999999999999996
cycle: 132; nbPreys: 7; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 6; minEnergyPredators: 0.03999999999999938; maxSizePredators: 0.5799999999999996
cycle: 133; nbPreys: 7; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 6; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.5599999999999996
cycle: 134; nbPreys: 7; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 5; minEnergyPredators: 0.17999999999999938; maxSizePredators: 0.5399999999999996
cycle: 135; nbPreys: 7; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 5; minEnergyPredators: 0.1599999999999994; maxSizePredators: 0.5199999999999996
cycle: 136; nbPreys: 7; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 5; minEnergyPredators: 0.1399999999999994; maxSizePredators: 0.49999999999999956
cycle: 137; nbPreys: 7; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 5; minEnergyPredators: 0.1199999999999994; maxSizePredators: 0.47999999999999954
cycle: 138; nbPreys: 6; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 5; minEnergyPredators: 0.0999999999999994; maxSizePredators: 0.8199999999999994
cycle: 139; nbPreys: 6; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 5; minEnergyPredators: 0.07999999999999939; maxSizePredators: 0.7999999999999994
cycle: 140; nbPreys: 6; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 5; minEnergyPredators: 0.05999999999999939; maxSizePredators: 0.7799999999999994
cycle: 141; nbPreys: 6; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 5; minEnergyPredators: 0.03999999999999938; maxSizePredators: 0.7599999999999993
cycle: 142; nbPreys: 6; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 5; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.7399999999999993
cycle: 143; nbPreys: 6; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 4; minEnergyPredators: 0.0999999999999994; maxSizePredators: 0.7199999999999993
cycle: 144; nbPreys: 6; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 4; minEnergyPredators: 0.07999999999999939; maxSizePredators: 0.6999999999999993
cycle: 145; nbPreys: 6; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 4; minEnergyPredators: 0.05999999999999939; maxSizePredators: 0.6799999999999993
cycle: 146; nbPreys: 6; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 4; minEnergyPredators: 0.03999999999999938; maxSizePredators: 0.6599999999999993
cycle: 147; nbPreys: 6; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 4; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.6399999999999992
cycle: 148; nbPreys: 6; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 3; minEnergyPredators: 0.1199999999999994; maxSizePredators: 0.6199999999999992
cycle: 149; nbPreys: 6; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 3; minEnergyPredators: 0.0999999999999994; maxSizePredators: 0.5999999999999992
cycle: 150; nbPreys: 6; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 3; minEnergyPredators: 0.07999999999999939; maxSizePredators: 0.5799999999999992
cycle: 151; nbPreys: 6; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 3; minEnergyPredators: 0.05999999999999939; maxSizePredators: 0.5599999999999992
cycle: 152; nbPreys: 6; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 3; minEnergyPredators: 0.03999999999999938; maxSizePredators: 0.5399999999999991
cycle: 153; nbPreys: 6; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 3; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.5199999999999991
cycle: 154; nbPreys: 6; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 2; minEnergyPredators: 0.1399999999999994; maxSizePredators: 0.4999999999999991
cycle: 155; nbPreys: 6; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 2; minEnergyPredators: 0.1199999999999994; maxSizePredators: 0.4799999999999991
cycle: 156; nbPreys: 11; minEnergyPreys: 0.2; maxSizePreys: 1.0; nbPredators: 2; minEnergyPredators: 0.0999999999999994; maxSizePredators: 0.4599999999999991
cycle: 157; nbPreys: 10; minEnergyPreys: 0.25; maxSizePreys: 1.0; nbPredators: 2; minEnergyPredators: 0.07999999999999939; maxSizePredators: 0.9399999999999991
